제목,날짜,내용,발행사,링크
"대구문예진흥원, 신임 대구미술관장 내정 취소···재공모",2023-04-19 23:09:38+00:00,대구문화예술진흥원(이하 문예진흥원)이 안규식 신임 대구미술관장 내정을 전격 취소했다.문예진흥원은 19일 신임 대구미술관장 내정자의 결격사유 조회과정에서 미술관장의 직무를 수행하기에는 부적절한 징계 기록이 발견돼 내정을 취소하고 재공모 절차가 진행할 예정이라고 밝혔다.앞서 문예진흥원은 최은주 전 관장이 지난 3월 사임한 이후 신임 대구미술관장 공모에 나서 지난 6일 안규식 전 클레이아크 김해미술관장을 신임 대구미술관장에 내정했으며 결격사유 조회를 거쳐 13일 정식 임용하기로 했다하지만 내정이 된 이후 안 내정자가 이전에 근무했던 2개 기관에서 각각 징계를 받았던 이력이 알려지며 논란이 돼 왔다,일간경북신문,http://www.kbsm.net/news/view.php?idx=388738
"대구 달성군 적십자봉사회, ‘어르신 합동 생신잔치’ 열어",2023-04-19 22:30:29+00:00,"대한적십자사 봉사회 달성군지구협의회가 19일 달성군 호텔아젤리아에서 희망풍차 결연을 맺고 있는 어르신 114명을 모시고 ‘어르신 합동 생신잔치’를 열었다. 달성군과 적십자의 후원으로 열린 이번 합동생신잔치에는 최재훈 달성군수, 서도원 달성군의회 의장, 박명수 적십자 대구지사 회장, 한명아 적십자봉사회 대구지사협의회 회장 등 관계자들이 참석했다.생신잔치는 생신 축하 노래와 케이크의 촛불 끄기, 무병장수를 기원하는 축하주 올리기, 선물 증정, 큰절 올리기, 축하 무대 등으로 진행됐고 어르신들은 정성스럽게 마련된 음식과 함께 모처럼 즐거운 시간을 가졌다.박연근 적십자봉사회 달성군지구협의회 회장은 “코로나로 3년 만에 합동생신잔치를 열게 되어 감회가 새롭다”며 “코로나 이전의 일상으로 돌아가 지역사회가 필요로 하는 봉사활동을 열심히 펼치겠다”고 말했다.한편 대구 달성군 적십자봉사회는 2005년부터 지역의 취약계층 어르신들과 결연을 맺고, 정기적 방문을 통한 정서적·물적 봉사활동을 전개하고 있다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388737
"대구가톨릭대병원 가톨릭간호사회,  튀르키예 성금 전달",2023-04-18 19:36:45+00:00,"대구가톨릭대학교병원 가톨릭간호사회가 지난 13일 대구적십자사에 튀르키예 지진피해 구호성금 552만5000원을 기부했다. 성금 전달에 참여한 대구가톨릭대학교병원 행정처장신부는 “예기치 못한 지진으로 가족과 삶의 터전을 잃은 튀르키예, 시리아 국민들에게 희망을 전하고 싶다”며 “지금 이 순간에도 지진 피해 현장에서 구호활동, 복구활동에 힘쓰는 분들에게 감사드린다”고 말했다. 기부금은 지난 2월 강진으로 사망자 및 부상자가 다수 발생한 튀르키예와 시리아 국민들의 구호를 위해 사용된다. 한편 튀르키예와 시리아 국민들을 돕기 위해서는 대한적십자사 홈페이지, 특별모금 전용계좌(우리은행 1005-003-305785, 대한적십자사) 및 ARS(060-700-8179, 1통화 1만원)로 참여할 수 있다. 기부 상담은 대한적십자사 대구지사 사회협력팀(053-550-7142)으로 문의하면 된다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388569
"우성환경, 대구지역 위기가정 위한 ‘씀씀이가 바른 기업’ 가입",2023-04-18 19:33:44+00:00,우성환경(주)가 지난 14일 대한적십자사 대구시지사의 나눔 확산 프로그램인 ‘씀씀이가 바른 기업’ 캠페인에 동참했다. 매월 대구지역 위기가정 지원을 위해 월 10만원 정기후원을 약정한 우성환경 최병일 대표는 “돈을 버는 만큼 중요한 것이 돈을 의미있게 사용하는 것이다”며 “기부금이 어려운 이웃을 돕는 일에 보탬이 되길 바란다”고 말했다. 최 대표는 몇 해 전부터 지역사회를 위한 기부활동을 실천해왔으며 누적 기부액이 10억여 원에 달한다. 씀씀이가 바른 기업(사업장)은 지역 내 위기가정을 돕는 기업 참여형 정기후원 프로그램으로 후원금은 이재민 구호 및 위기가정 지원사업을 위해 사용되며 기부금 처리가 가능하다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388568
"낙동강레포츠밸리·달성군 청소년상담복지센터, 업무협약",2023-04-18 18:43:27+00:00,"대구 달성군시설관리공단이 운영하는 낙동강레포츠밸리가 지난 17일 달성군 청소년상담복지센터와 업무협약을 체결했다.달성군 청소년상담복지센터는 청소년 및 학부모의 상담과 심리상담 학교폭력 예방사업, 위기 청소년의 긴급구조, 통합지원, 문화 활동 지원 등 지역 사회와 연계하여 청소년의 복지 증진에 기여하고 있다.낙동강레포츠밸리는 협약을 통해 캠핑과 각종 전문적인 레저스포츠 체험활동 등 맞춤형 서비스를 지원하고 복잡한 행정 절차를 생략해 지역 사회 청소년 복지 사업의 신속한 지원을 기대하고 있다. 공단 김정화 이사장은 “지역 내 청소년과 모든 청소년의 삶의 질 향상과 건전한 문화 향유를 지원하고 사회적 책임을 다하는 공기업이 되기 위해 노력하겠다”고 밝혔다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388567
"aT, 런던 프랜차이즈 박람회서 2327만달러 상담 성과",2023-04-17 21:55:41+00:00,"농림축산식품부와 한국농수산식품유통공사(aT) 지난 14일부터 이틀간 영국 런던에서 열린 ‘런던 국제 프랜차이즈쇼(IFS London 2023)’에 참가해 총 119회 상담, 2327만달러의 상담 성과를 달성했다. 영국 최대 규모의 프랜차이즈 박람회인 IFS London에서는 한국뿐 아니라 미국, 호주, 중동 등 50개국 250여 기업들이 참여해 다양한 브랜드와 특색있는 외식 메뉴들을 선보였다.aT가 운영한 한국관에는 대표적인 외식메뉴인 치킨, 떡볶이 등을 취급하는 국내 우수 외식 프랜차이즈 4개 사가 참가했으며 박람회장에 모여든 유럽과 전세계 현지 외식업 관계자들에게 K-외식 프랜차이즈의 우수성을 알리고 적극적인 현장 상담을 통해 현지 네트워크를 확장시켰다. 특히 영국은 브렉시트 이후 유럽 외 새로운 비즈니스 모델에 대한 수요가 높은 상황에서 현지인이 줄서서 먹는 인기 한식당이 여럿 생길 정도로 K-컬쳐의 선호도가 높아지는 추세이다. 이에 따라 바이어와 관람객들은 한국관에서 만난 우수한 기업들의 소개와 상담에 큰 관심을 기울였다. 참가업체 P사는 “박람회 기간 유럽에서 K-컬쳐와 K-푸드의 인기를 실감했고 기존 외식업계의 에스닉 푸드(이국적인 느낌이 나는 고유의 전통 음식) 열풍이 중식당과 태국 식당에 한정됐다면 이제는 한식당으로 유럽소비자의 수요가 쏠림을 확인했다”며 “박람회를 통해 발굴한 바이어들과 지속적인 상담을 통해 유럽 시장 개척에 힘쓸 것”이라고 말했다.aT 권오엽 수출식품이사는 “K-푸드 수출액이 120억 달러를 달성한 것처럼 이제는 전세계 어디에서도 한국 음식을 접할 수 있는 여건이 형성됐다""며 “특히 유럽시장의 K-컬쳐와 K-푸드의 인기로 유럽 진출을 희망하는 국내 외식 브랜드가 꾸준히 늘고 있는 만큼 시장 확대를 위해 적극 지원하겠다”고 밝혔다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388400
"DGB금융그룹·E-순환거버넌스, 자원순환 체계 구축 업무협약",2023-04-17 21:21:28+00:00,"DGB금융그룹이 지난 14일 E-순환거버넌스와 국내 금융지주 최초로 전기·전자제품 자원순환 체계를 구축하기 위해 업무협약을 체결했다.E-순환거버넌스는 자원순환 관련 법령에 따라 환경부로부터 인가받은 국내 유일의 전기·전자제품 회수 및 재활용 의무를 이행하는 비영리 공익법인이다.이번 협약을 시작으로 DGB금융그룹의 각 계열사는 수명이 다한 전기·전자제품을 E-순환거버넌스에 인계해 친환경적인 방법으로 폐기, 재활용함으로써 자원을 절약하고 탄소 배출량을 저감할 계획이다. 배출부터 회수, 재활용까지 모든 처리 과정은 한국환경공단을 통해 적정성을 검증받게 된다.양 기관은 탄소 저감 실적에 따른 사회공헌활동에도 협력하기로 했다. 이에 따라 그룹 각 계열사는 자원순환을 통한 ESG 성과를 기반으로 기부금을 산출해 지정기관을 후원할 방침이다.김태오 DGB금융그룹 회장은 “협약을 계기로 자원순환의 이행뿐만 아니라 친환경 금융을 지속해 강화해 탈탄소 경제로의 전환에 더욱 적극적으로 기여할 것”이라고 말했다.DGB금융그룹은 국내 금융그룹 최초로 온실가스 인벤토리를 구축하고 SBTi(과학기반 온실가스 감축목표 이니셔티브)에 서명하는 등 탄소중립 실천을 통한 친환경 경영에 앞장서고 있다. 지난해에는 SBTi로부터 탄소 감축 목표를 승인받았으며 단계별 탄소중립 로드맵을 통해 전사적으로 탄소 배출량을 관리하고 있다. 또 그룹 금융자산의 탄소배출량을 산정해 저배출 산업 중심의 포트폴리오를 구축하고 여신 및 투자자산 고객의 배출량 감축을 유도함으로써 탄소중립을 위한 금융기관의 역할과 책임을 다하고 있다",일간경북신문,http://www.kbsm.net/news/view.php?idx=388396
"aT 농수산식품유통교육원, 지역 식품외식 전문가 육성",2023-04-13 16:18:32+00:00,"한국농수산식품유통공사(aT)가 지역 식품외식 전문가 육성에 나선다.aT 농수산식품유통교육원은 대구·경북지역의 식품외식산업 종사자를 대상으로 13일부터 10월 19일까지 6개월간 영남대학교에서 ‘식품외식 MBA 아카데미 과정’을 신규 위탁 운영한다.이 과정은 농수산식품유통교육원이 운영하는 ‘농산물유통 지역별 전문교육 위탁 과정’ 중 하나로 올해 처음 위탁기관으로 선정된 영남대는 2023년도 위탁기관 중 유일하게 식품외식 마케팅에 포커스를 맞춰 교육과정을 운영한다.교육은 대구·경북지역에서 식품제조업, 외식업, 단체급식업 등에 종사하는 소상공인과 지역 고유 프랜차이즈 경영인 등을 대상으로 한다.식품외식산업 최신 트렌드를 반영한 이론교육과 현장에서 바로 적용 가능한 실무교육을 병행해 기업 경영 마인드 향상과 효과적인 마케팅 전략 수립을 지원할 계획이다.특히 이번 과정은 실무 분야부터 학술 연구, 마케팅 전략·정책, 외식 창업, 위생·경영 관리까지 식품외식산업 경영자가 갖춰야 할 필수 소양을 담은 다양한 커리큘럼은 물론 풍부한 실무경험을 토대로 전국적으로 지명도가 높은 강사진들을 구성해 교육생들에게 실질적인 도움을 줄 것으로 기대된다.양인규 농수산식품유통교육원장은 “올해 영남대 ‘식품외식 MBA 아카데미 위탁과정’ 개설이 대구·경북지역의 식품외식산업 발전과 지역경제 활성화에 도움 되길 바란다”며 “앞으로도 다양하고 우수한 교육과정을 지속 발굴하고 추진해 농수산식품 산업을 선도하는 일류 교육기관으로 자리매김하겠다”고 밝혔다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388029
"국립대구과학관, 기재부 고객 만족도 조사 2년 연속 우수기관 선정",2023-04-13 14:13:29+00:00,"국립대구과학관이 기획재정부가 발표한 ‘2022년 공공기관 고객만족도 조사’에서 2년 연속 우수기관으로 선정됐다고 13일 밝혔다.이번 조사는 공기업과 준정부기관 등 252개 공공기관을 대상으로 이뤄졌다. 국립대구과학관은 개관 10년차를 맞아 제2의 도약을 꿈꾸고 있다. 그 일환으로 핵심전략인 ESG(환경, 사회, 지배구조) 경영 혁신을 통해 2년 연속 우수기관 선정이란 결과를 이끌어낸 것으로 보고 있다. 앞으로 매년 실시하는 공공기관 고객만족도 조사에도 자율적·혁신적인 고객중심 경영을 지속 추진해 대국민 서비스가 향상될 수 있도록 노력할 계획이다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=387978
"도로공사, `미래고속도로 중점과제 추진 T/F` 출범",2023-04-11 14:17:21+00:00,"한국도로공사가 지난 10일 판교 ex-스마트센터에서 임직원 및 민간전문가가 참여한 가운데 ‘미래고속도로 중점과제 추진 T/F’ 출범식을 가졌다.이번 T/F는 함진규 사장 및 全 임원과 외부전문가 8인 등 총 17명으로 구성됐다. 외부위원의 경우 경영개선, 디지털, 자율주행, 드론 등 다양한 분야의 민간 전문가들로, T/F 운영방향 논의부터 이행과제 최종 선정까지 모든 과정에 참여한다.중점과제 선정은 지난 3월 수립한 사장경영방침의 구체적 실행계획을 마련하기 위해 추진되며 T/F 구성원의 평가 과정을 거쳐 5월 중순 확정된다. 이밖에 공사는 고속도로 정책에 대한 국민의견을 반영하기 위해 12일부터 25일까지 ‘국민 아이디어 공모전’을 실시한다.공모주제는 안전한 고속도로, 미래 고속도로, 서비스 혁신 고속도로, 믿음 가는 고속도로 4개 분야이다.과제의 독창성과 적용가능성 등을 검토해 미래고속도로 중점과제에 반영하고 우수작에 대해서는 포상한다. 도로공사 함진규 사장은 “미래고속도로 중점과제 추진 T/F를 내실있게 운영해 정부정책을 이행하고 고객이 직접 변화를 체감할 수 있는 다양한 개선방안을 발굴하겠다”며 “최근 수도권 내 교통정체 해소와 고속도로 입체개발을 위해 ‘지하고속도로 추진단’을 신설하는 등 미래 지향적인 SOC 사업도 적극 추진중이다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=387652
"아름다운 동행 짜장차봉사단, 무병장수 사진촬영 등 봉사활동 펼쳐",2023-04-09 13:26:40+00:00,"아름다운 동행 짜장차봉사단이 지난 7일 LH 대구경북본부, 남산기독교종합사회복지관, 사)K뷰티소상공인협회, VR사진가협회와 협업해 대구 달성군 옥포천년나무 2단지에서 저소득 취약계층 어르신 300여명을 모시고 헤어 메이크업, 이·미용서비스와 더불어 무병장수 사진촬영 및 액자제작, 노래교실 운영, 점심식사 제공, 말벗 동무 등 다양한 봉사활동을 펼쳤다.이날 사랑의 짜장차 정한교 대표와 대구·경북 박세학 봉사팀장 외 회원 15여명은 평일임에도 각자의 생업을 마다하고 식재료를 손질해 어르신들에게 350인분의 짜장면 급식봉사를 벌였다.아름다운 동행 봉사단은 지난해 대구·경북에 어려운 소외계층을 위해 지역 곳곳에 찾아 다니며 74회의 봉사활동을 펼쳤다. 지난해 3월에는 2박3일동안 울진 산불 이재민 및 진화대원과 주민에게 짜장면 봉사활동을 벌였고 6월에는 밀양 산불진화대원 및 주민에게 짜장면 봉사활동을, 9월에는 포항 태풍 한남노 수재민 및 주민들에게 봉사해 1만8500인분 짜장면 나눔을 했다.정한교 봉사단장은 ""올해부터는 반고개 의성무침회 박세학 대표가 아름다운 동행 봉사단 사랑의 짜장차 대구·경북 팀장을 이임받아 더욱 더 많은 활약이 기대된다""고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=387388
"HWPL 대구경북지부, `DPCW 공표 7주년 기념식`",2023-03-20 09:57:01+00:00,"“지구촌 곳곳의 전쟁을 끝낼 수 있는 평화 국제법 DPCW 10조 38항을 전세계에 널리 알리고, UN 상정 후 통과돼 실질적인 평화가 정착될 수 있도록 동참해주십시오”하늘문화세계평화광복(HWPL) 대구경북지부가 지난 17일 대구 중앙컨벤션센터에서 `지구촌 전쟁종식 평화 선언문, DPCW 공표 7주년`을 맞이해 ‘제도적 평화: 신뢰 구축을 위한 소통의 강화’를 주제로 평화행사를 개최했다.HWPL 대구경북지부 노흥삼 명예이사는 환영사에서 “다른 나라에서 발생하는 크고 작은 분쟁과 전쟁이 더 이상 다른 나라의 일이 아니라는 것을 더욱 실감하고 있다”며 “나의 안위를 위한 노력이 내 삶의 안전을 보장할 수 없는 시대가 됐다”고 말했다.이어 “UN의 상임 이사국 중 하나인 러시아가 무력 전쟁을 일으켰다. 진정한 평화의 법이 필요하다”며 “전쟁을 원천 봉쇄하고 우리의 소중한 아이들에게 평화를 유산으로 남겨둘 수 있는 완벽한 평화의 법이 필요하다”고 강조했다.한국불교조계종 총무원장인 대봉 스님은 기념사에서 “UN 상임이사국인 러시아가 전쟁을 일으켰고 전쟁의 피해는 고스란히 러시아, 우크라이나 국민에게 돌아가고 있다”며 “평화를 위한 국제법 개정은 선택이 아니라 필수임을 전 세계인이 공감하고 있다”고 말했다. 또 “평화를 이루는 데 있어서 종교 간 다름을 초월해 협력해야 한다”며 “후대에 남길 위대한 유산을 위해 우리 함께 나아가자”고 당부했다. 행사에 참석한 대구‧경북 지역 각계각층 인사 등 200여명은 러시아-우크라이나 전쟁 중단을 촉구하는 피스레터를 작성하기도 했다.앞서 14일 서울 양재 더케이호텔 그랜드볼룸에서 열린 메인 행사는 국제법평화위원 및 관계자 90여명을 비롯한 1000여명의 인사가 참여했으며 19일까지 총 41개국에서 정치, 법조, 종교, 교육, 언론, 여성, 청년 분야 7000여명이 참여해 평화를 보편적인 문화와 규범으로 제도화하기 위한 갈등 예방, 조정, 해결 사례를 공유했다.이날 기념식에서는 방글라데시 다카대학교 법대 회장이자 HWPL 국제법 제정 평화위원회 위원 모함마드 나즈룰 이슬람 교수, 한국불교여래종 총무원장 명안스님이 발제를 했으며 이어 HWPL 이만희 대표, IPYG 정영민 부장, IWPG 윤현숙 대표의 기념사, 필리핀 민다나오에서 보내온 특별영상이 방영됐다. HWPL 이만희 대표는 “전쟁을 실질적으로 종식시키기 위해 지구촌을 32바퀴 돌며, UN에 DPCW를 상정시킬 수 있도록 해왔다”며 “코로나 기간 잠시 멈춰있었지만, 팬데믹이 거의 끝나가는 만큼 HWPL 국제법 제정 위원들과 논의해 UN에 올릴 수 있을 정도로 가다듬고, 다시 한번 지구촌을 돌며 실제로 상정시켜 국제법으로 제정될 수 있도록 하겠다”는 의지를 피력했다.HWPL은 우크라이나-러시아 전쟁 종식 뿐 아니라 전 세계까지 확장‧지속 가능한 평화를 이루는 방법으로 DPCW 10조 38항을 유엔에 상정하고 국제법으로 제정하기 위해 노력하고 있다. 현행 국제법으로는 전쟁을 막을 수 없기에 15개국의 국제법 전문가들과 함께 만든 DPCW를 새로운 국제법으로 제정하기 위해 노력하고 있으며 이를 이루기 위해 각국 대통령에게 DPCW를 지지하도록 촉구하고 법제화를 추진하고 있다.DPCW는 HWPL이 지난 2016년 3월 14일 15개국 국제법 전문가들과 초안을 작성해 공표한 국제법안으로, 전문은 HWPL 홈페이지에서 확인 가능하다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=384958
"HWPL 대구경북지부, 한국산림보호협회 중앙회와 MOU 체결",2023-03-10 15:32:21+00:00,"하늘문화세계평화광복 대구경북지부(이하 HWPL 대구경북지부)가 지난 8일 한국산림보호협회 중앙회와 양해 각서(MOU)를 체결했다.이 양해각서에는 전쟁종식 평화실현에 대한 활동과 사업정보 교환, 기타 교류협력(영토분쟁 등) 노력을 제공하고 인종, 종교(탄압, 차별), 여성, 아동의 인권 확립과 더불어 사회, 문화분야(문화·체육·복지·봉사활동) 발전을 위한 행사를 진행하는데 적극 협력한다는 내용이 담겨있다.한국산림보호협회 허태조 중앙회장은 “HWPL이 전쟁이 없는 세상을 만들어 후대의 유산으로 물려주기 위해 전 세계적으로 진정성 있게 평화 활동을 펼치는 단체임을 알게 되어 이번 MOU를 체결하게 됐다”며 “두 단체가 협력해 각 지역사회 발전을 위한 산림보호, 산불예방, 산림훼손방지, 야생조수보호활동, 산지정화운동에 솔선수범하면 좋겠다”고 말했다.HWPL 임창섭 대구경북지부장은 “(HWPL은) 한국전쟁 참전용사인 이만희 대표의 뜻으로 2013년 5월 25일에 설립된 이후 정치, 종교, 국가, 인종을 초월해 다양한 평화 사업을 추진해 왔다”며 “두 단체가 대한민국 산림보호와 전쟁이 없는 세계를 만들 수 있도록 함께 노력하면 좋겠다”고 밝혔다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=383977
"대구시의회, 원·하청 기업 동반 상생에 마중물이 될 정책연구 착수",2023-02-01 21:06:00+00:00,"대구시의회 의원연구단체 ‘원·하청 기업 동반 상생 포럼’이 1일 오전 시의회 3층 회의실에서 정책연구용역 착수보고회를 열었다.‘원·하청 기업 동반 상생 포럼’은 공생적 거래 질서 확립으로 원·하청 동반성장 분위기를 조성하기 위해 지난해 9월 11명의 대구시의회 의원으로 결성됐다.연구책임자인 임운택 계명대 교수는 “중소제조업 원·하청관계 실태조사를 통한 개선방안 연구용역은 대구지역의 자동차 부품 업체가 겪고 있는 원·하청 거래에서의 어려움과 애로사항을 면접 인터뷰 방식으로 파악하고, 이를 토대로 대구시의회가 원·하청 불공정 거래의 폐해를 줄일 제도적·정책적 개선방안을 마련할 수 있도록 양질의 보고서를 만들어내겠다”며 용역수행과정과 결과 도출 방안을 보고했다. 이후 참석한 업계 관계자와 시의원들은 원·하청 업체가 서로 협력하고 상생발전할 수 있는 다양한 방안들에 대해 의견을 교환하고 연구가 원활하게 진행될 수 있도록 적극 협력하기로 했다.포럼 대표인 김정옥 의원은 “정책연구용역 착수보고회는 연구단체 출범 후 첫 과제에 대한 착수이자 새해 연구단체 활동의 출발을 알리는 자리로 연구단체가 연구용역 착수부터 이렇게 활발하게 의견을 개진한 것은 처음”이라며 “다양한 의견을 반영해 훌륭한 결과물이 나올 수 있도록 깊이 있는 연구와 활발한 활동을 이어가겠다”고 말했다.이날 보고회에는 연구를 맡아 진행할 임운택 교수 등 연구진과 지역 업계 관계자 및 연구단체 의원 등 20여명이 참석했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=379907
"블루센㈜, 대한적십자사 회원유공장 금장 수상",2023-02-01 20:55:46+00:00,대구 달성군 소재 블루센 주식회사(대표 손창식)가 적십자 인도주의 활동에 대한 공로를 인정받아 대한적십자사의 ‘적십자 회원유공장 금장’을 수상했다고 1일 밝혔다. 적십자 회원유공장은 대한적십자사에서 숭고한 사랑과 봉사의 정신을 발휘해 인류의 복지 증진과 적십자사업 재원조성에 기여한 공이 큰 단체 및 개인에게 부여하는 상이다. 2020년도부터 나눔을 실천하고 있는 블루센 주식회사는 ‘씀씀이가 바른 기업’ 캠페인에도 참여해 지역사회와의 상생을 위한 행보를 이어오고 있다.손창식 대표는 “사회공헌 활동에 지속적으로 참여해 사회 발전에 공헌하고자 하는 것이 회사 경영지침이다”며 “앞으로도 따뜻한 나눔을 통해 사회의 일원으로서의 역할을 수행하겠다”고 말했다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=379906
"`일심단결 목적달성의 해`···신천지예수교회, 올해도 ‘10만 수료’",2023-01-16 11:45:43+00:00,"신천지예수교 증거장막성전(이하 신천지예수교회)이 15일 열린 ‘39차 정기총회’에서 지난해 이룬 성과들을 재확인하며 올해도 내적 성장과 함께 선한 영향력을 확대해 갈 것을 다짐했다. 온라인으로 진행된 이날 총회에서는 지난해의 주요 활동을 담은 제작 영상을 통해 그간의 발자취와 성과가 공유됐다. ◆ 지난해 키워드는 ‘10만 수료·온라인 세미나·헌혈 캠페인’ 신천지예수교회는 지난해 10만6186명의 선교센터 수료생을 배출하는 등 기하급수적인 성장을 이어갔다. 특히 코로나19 팬데믹 이후 교인 수 감소로 어려움을 겪는 교계 분위기와는 대조적으로 성도 수가 크게 증가해 각계의 주목을 받았다. 이러한 성도 수 증가는 온라인 세미나와 온라인 선교센터 운영 등이 주요 동력으로 작용했다. 이만희 총회장의 8회에 걸친 세미나를 비롯해 지난해 유튜브를 통해 공개한 신천지예수교회의 온라인 세미나는 24개 언어로 전 세계에 송출되며 총 누적 조회수 약 2098만 회를 기록했다. 그 뜨거운 반응은 국내외 목회자들과의 업무협약 체결로 이어졌다. 국내 177건, 해외 3760건(지난해 12월말 현재)의 MOU를 체결하며 수많은 국내외 목회자들이 신천지예수교회와 복음 교류 협약에 나섰다. 아울러 코로나 확산 이후 본격화한 ‘온라인 선교센터’가 신천지예수교회의 말씀에 대한 접근성을 높였다는 분석이다. 2020년 온라인 체제 전환 이후 지난해 3년차를 맞은 온라인 선교센터는 한 해 동안 국내외 총 3347회(국내 총 1715회, 해외 1632회) 개강을 했다. 이는 10만 명을 넘는 ‘역대 최대 규모의 수료생 배출’이라는 결과로 이어졌다. 기존 대면 중심 체제에서 비대면 체제로 전환하며, 시공간의 제약을 해소해 강의 규모가 더욱 커졌다는 평가다. 해외에서도 지난해 총 전 세계 18개국에 21개 신천지예수교회가 새롭게 설립되는 등 괄목할 만한 성장을 이뤘다. 또 신천지예수교회는 지난해 2차에 걸친 대대적인 헌혈 캠페인을 진행하며 사회 공헌 활동에도 힘을 쏟았다. 그 결과 1차 1만 8819명, 2차 7만3807명이 헌혈에 동참하며 단일기관 최단기간 최다인원 헌혈을 달성하고 최다 헌혈증 기부로 한국기록원(KRI)의 인증과 기네스 세계기록을 세웠다. 지난해 7월에는 국내외 청년 9만여 명으로 구성된 자원봉사단 ‘위아원’이 출범하며 청년들을 주축으로 범국가적 난제와 지구촌 위기 해결에 나서겠다는 계획을 밝히기도 했다.◆올해 또 ‘10만 수료’ 목표… 성도 교육에도 주력신천지예수교회는 올해 또 ‘10만 수료’를 목표로 삼고 있다. 올해 표어를 ‘일심단결 목적달성의 해’로 정하고, 모든 성도가 더욱 마음을 모아 전도할 것을 다짐했다. 이를 위해 지파장, 담임, 선교센터 강사, 전도사 등 사역자들이 솔선수범해 전도 활동 전면에 나선다. 기존대로 온라인 선교센터를 운영하되 오프라인 선교센터도 일부 개설하여 운영할 계획이다. 누구나 방문해 직접 말씀을 들을 수 있도록 시민들의 접근성을 더욱 높이겠다는 목표를 갖고 있다.이와 함께 성도 교육에도 주력한다는 방침이다. 신천지예수교회 측은 “전 성도를 대상으로 매월 성경 시험을 치고 있으며 올초부터는 ‘계시록 전장 스피치’를 기획해 시행할 계획”이라고 밝혔다. 그러면서 “‘전 성도 목회자급(제사장) 실력 향상’을 목표로, 모두가 성경을 가르칠 수 있는 능력을 갖출 수 있도록 할 것”이라고 전했다. 아울러 국내외 말씀 세미나 개최 확대, 목회자 MOU 체결 증대 등 그 영역을 넓혀 가며 더욱 많은 사람들에게 성경 교육 기회를 제공할 계획이다.이 밖에 사회 공헌 활동도 확대해 갈 예정이다. 특히 청년 자원봉사단 위아원은 올해 환경·평화·교육 등 다양한 분야로 그 활동 영역을 넓혀 가기 위해 준비하고 있다고 밝혔다. ◆“성경 통해 사실 확인해야… 말씀 안에서 하나 되자” 한편 이날 총회는 유월절 기념 예배를 겸해 진행됐다. 이만희 총회장은 설교를 통해 오늘날 신천지예수교회에서 기념하는 유월절의 의의를 설명했다.이 총회장은 “누가복음 22장 14~20절 말씀에 ‘유월절을 아버지 나라에서 이룰 때까지는 먹지 않는다’고 하셨다”며 “이는 모세 때 양의 피를 문에 바르고 그 고기를 먹고 사람들이 구원받은 것을 빙자해서 예수님이 새롭게 예언을 하신 것”이라고 말했다. 이어 “이 유월이 아버지의 나라가 이뤄지는 이 계시록 때에 또 있다”면서 오늘날의 유월절과 계시록을 깨달아야 할 것을 강조했다. 또 교계의 목사들에게 성경으로 신천지예수교회에 대한 사실을 확인하고 말씀 안에서 하나가 되자고 주문했다. 이 총회장은 “하나님은 성경대로 이루시니 우리는 성경대로 믿어야 한다”며 “무조건 자기만 옳고, 다른 사람은 이단이라고 하는 생각은 버려야 한다”고 지적했다. 그러면서 “우리 신천지예수교회는 성경대로 창조됐다. 하나님이 이렇게 약속하시고 오늘날 이루고 있음에도 믿지 않고 핍박해서는 안 된다. 성경을 가지고 확인해야 한다”고 재차 강조했다. 끝으로 그는 “이 말씀은 ‘네 것’도, ‘내 것’도 아닌 하나님 것”이라며 “하나님 말씀 안에서 하나가 되자”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=378159
